Predictor,b,Seed,Dataset,Result
HLL,2,13323,dracula,15675.233806903556
REC,2,13323,dracula,24073.124304840447
HLL,3,13323,dracula,13197.037119497829
REC,3,13323,dracula,9379.831471256804
HLL,4,13323,dracula,12407.76523956044
REC,4,13323,dracula,11158.516140560125
HLL,5,13323,dracula,12662.392584731997
REC,5,13323,dracula,8139.7245233272615
HLL,6,13323,dracula,11902.48519724828
REC,6,13323,dracula,6200.944255490111
HLL,7,13323,dracula,10130.26412127666
REC,7,13323,dracula,8621.826783942088
HLL,8,13323,dracula,9755.422627897131
REC,8,13323,dracula,8584.692714295867
HLL,9,13323,dracula,9658.788379034584
REC,9,13323,dracula,8634.970494913066
HLL,10,13323,dracula,8827.258751700523
REC,10,13323,dracula,8983.562409081462
HLL,11,13323,dracula,8945.149602609248
REC,11,13323,dracula,9102.755513081573
HLL,12,13323,dracula,9309.228452590927
REC,12,13323,dracula,9383.048296465768
HLL,13,13323,dracula,9338.746884293809
REC,13,13323,dracula,9418.650472093119
HLL,14,13323,dracula,9458.79744084976
REC,14,13323,dracula,10713.903163643017
HLL,15,13323,dracula,9428.09951056076
REC,15,13323,dracula,16071.696938099067
HLL,16,13323,dracula,9431.20134607483
REC,16,13323,dracula,27837.932418028387
HLL,2,60340,dracula,6204.780048565991
REC,2,60340,dracula,2066.951531382569
HLL,3,60340,dracula,5950.449772630717
REC,3,60340,dracula,4112.141749739368
HLL,4,60340,dracula,6300.8182857142865
REC,4,60340,dracula,5073.218463955728
HLL,5,60340,dracula,8649.200852071006
REC,5,60340,dracula,4535.780725206839
HLL,6,60340,dracula,10452.588878734621
REC,6,60340,dracula,5828.003656416331
HLL,7,60340,dracula,10796.44405210398
REC,7,60340,dracula,8963.960188696386
HLL,8,60340,dracula,8912.352366702615
REC,8,60340,dracula,9612.398015038667
HLL,9,60340,dracula,9106.841762101118
REC,9,60340,dracula,9726.535002086337
HLL,10,60340,dracula,8869.721335913422
REC,10,60340,dracula,9277.674047496794
HLL,11,60340,dracula,9102.498344034266
REC,11,60340,dracula,9400.842863604974
HLL,12,60340,dracula,9309.228452590927
REC,12,60340,dracula,9493.650908283447
HLL,13,60340,dracula,9338.746884293809
REC,13,60340,dracula,9425.551735952402
HLL,14,60340,dracula,9458.79744084976
REC,14,60340,dracula,10713.903163643017
HLL,15,60340,dracula,9428.09951056076
REC,15,60340,dracula,16071.696938099067
HLL,16,60340,dracula,9431.20134607483
REC,16,60340,dracula,27837.932418028387
HLL,2,19128,dracula,5515.36004316977
REC,2,19128,dracula,4037.9678347315803
HLL,3,19128,dracula,7660.349132582073
REC,3,19128,dracula,19016.63327757335
HLL,4,19128,dracula,8426.168931343283
REC,4,19128,dracula,9302.76106487569
HLL,5,19128,dracula,7739.059928524156
REC,5,19128,dracula,9206.016150883474
HLL,6,19128,dracula,7984.592142305755
REC,6,19128,dracula,7469.134997372657
HLL,7,19128,dracula,8348.36127756064
REC,7,19128,dracula,8825.507285115174
HLL,8,19128,dracula,8451.47470719388
REC,8,19128,dracula,8960.899699765752
HLL,9,19128,dracula,9266.28239638722
REC,9,19128,dracula,9956.989220336409
HLL,10,19128,dracula,9885.01441748431
REC,10,19128,dracula,9414.52519524147
HLL,11,19128,dracula,9322.600161728311
REC,11,19128,dracula,9437.631637693856
HLL,12,19128,dracula,9309.228452590927
REC,12,19128,dracula,9367.026754409393
HLL,13,19128,dracula,9338.746884293809
REC,13,19128,dracula,9409.456645717828
HLL,14,19128,dracula,9458.79744084976
REC,14,19128,dracula,10713.903163643017
HLL,15,19128,dracula,9428.09951056076
REC,15,19128,dracula,16071.696938099067
HLL,16,19128,dracula,9431.20134607483
REC,16,19128,dracula,27837.932418028387
HLL,2,48828,dracula,3309.216025901862
REC,2,48828,dracula,4037.9678347315803
HLL,3,48828,dracula,6347.1464241394315
REC,3,48828,dracula,4112.141749739368
HLL,4,48828,dracula,5502.468990253412
REC,4,48828,dracula,5727.316937825021
HLL,5,48828,dracula,6763.284876807403
REC,5,48828,dracula,6170.45269952566
HLL,6,48828,dracula,9023.36138365257
REC,6,48828,dracula,7019.934471486601
HLL,7,48828,dracula,9917.047725975784
REC,7,48828,dracula,8894.464373280136
HLL,8,48828,dracula,8873.69351426113
REC,8,48828,dracula,8719.632255588907
HLL,9,48828,dracula,9157.964540375133
REC,9,48828,dracula,9482.890879827202
HLL,10,48828,dracula,8906.114786173339
REC,10,48828,dracula,9133.891187978215
HLL,11,48828,dracula,8953.73823310773
REC,11,48828,dracula,9160.712626487946
HLL,12,48828,dracula,9309.228452590927
REC,12,48828,dracula,9456.639281400725
HLL,13,48828,dracula,9338.746884293809
REC,13,48828,dracula,9417.500752762948
HLL,14,48828,dracula,9458.79744084976
REC,14,48828,dracula,10713.903163643017
HLL,15,48828,dracula,9428.09951056076
REC,15,48828,dracula,16071.696938099067
HLL,16,48828,dracula,9431.20134607483
REC,16,48828,dracula,27837.932418028387
HLL,2,14150,dracula,14098.435139936926
REC,2,14150,dracula,676.6263578034403
HLL,3,14150,dracula,13180.724341847028
REC,3,14150,dracula,2887.790913397196
HLL,4,14150,dracula,11832.398604139376
REC,4,14150,dracula,6465.732793091528
HLL,5,14150,dracula,9441.364123328454
REC,5,14150,dracula,8656.469732327527
HLL,6,14150,dracula,8282.647212211548
REC,6,14150,dracula,6200.944255490111
HLL,7,14150,dracula,9456.197887672643
REC,7,14150,dracula,8228.457716401823
HLL,8,14150,dracula,9948.835502902568
REC,8,14150,dracula,9390.132655783013
HLL,9,14150,dracula,9551.385261492424
REC,9,14150,dracula,9669.759649650217
HLL,10,14150,dracula,8894.752134384778
REC,10,14150,dracula,9442.136688514456
HLL,11,14150,dracula,8949.210172380874
REC,11,14150,dracula,9341.366683190903
HLL,12,14150,dracula,9309.228452590927
REC,12,14150,dracula,9422.071924747033
HLL,13,14150,dracula,9338.746884293809
REC,13,14150,dracula,9410.60538310134
HLL,14,14150,dracula,9458.79744084976
REC,14,14150,dracula,10713.903163643017
HLL,15,14150,dracula,9428.09951056076
REC,15,14150,dracula,16071.696938099067
HLL,16,14150,dracula,9431.20134607483
REC,16,14150,dracula,27837.932418028387
HLL,2,40817,dracula,5134.990385020131
REC,2,40817,dracula,5047.709793414476
HLL,3,40817,dracula,4472.821305601613
REC,3,40817,dracula,7411.014989635007
HLL,4,40817,dracula,6343.295712359551
REC,4,40817,dracula,9884.246131430422
HLL,5,40817,dracula,7178.465041129527
REC,5,40817,dracula,9206.016150883474
HLL,6,40817,dracula,8674.60065195989
REC,6,40817,dracula,15241.775476738396
HLL,7,40817,dracula,8834.673584991357
REC,7,40817,dracula,12723.381882300104
HLL,8,40817,dracula,8521.887320637092
REC,8,40817,dracula,9463.64417696857
HLL,9,40817,dracula,9000.02309196954
REC,9,40817,dracula,8175.808638109573
HLL,10,40817,dracula,9294.806918556531
REC,10,40817,dracula,8631.104135475802
HLL,11,40817,dracula,9285.977702455679
REC,11,40817,dracula,9178.61970666337
HLL,12,40817,dracula,9309.228452590927
REC,12,40817,dracula,9360.168755593591
HLL,13,40817,dracula,9338.746884293809
REC,13,40817,dracula,9430.155387285213
HLL,14,40817,dracula,9458.79744084976
REC,14,40817,dracula,10713.903163643017
HLL,15,40817,dracula,9428.09951056076
REC,15,40817,dracula,16071.696938099067
HLL,16,40817,dracula,9431.20134607483
REC,16,40817,dracula,27837.932418028387
HLL,2,31592,dracula,3384.4254810359953
REC,2,31592,dracula,3230.1742677852644
HLL,3,31592,dracula,7573.299710620913
REC,3,31592,dracula,7411.014989635007
HLL,4,31592,dracula,8821.1456
REC,4,31592,dracula,15109.890492236402
HLL,5,31592,dracula,9078.974807453416
REC,5,31592,dracula,6978.804379343195
HLL,6,31592,dracula,10272.060573402418
REC,6,31592,dracula,12078.899265627642
HLL,7,31592,dracula,10568.24972603573
REC,7,31592,dracula,10974.431971678538
HLL,8,31592,dracula,10452.66350977146
REC,8,31592,dracula,10763.119386857039
HLL,9,31592,dracula,9649.427335162101
REC,9,31592,dracula,9707.572945552056
HLL,10,31592,dracula,9509.335088183336
REC,10,31592,dracula,9516.163845947029
HLL,11,31592,dracula,9431.127009582593
REC,11,31592,dracula,9465.317655981145
HLL,12,31592,dracula,9309.228452590927
REC,12,31592,dracula,9479.754604940192
HLL,13,31592,dracula,9338.746884293809
REC,13,31592,dracula,9432.458055991103
HLL,14,31592,dracula,9458.79744084976
REC,14,31592,dracula,10713.903163643017
HLL,15,31592,dracula,9428.09951056076
REC,15,31592,dracula,16071.696938099067
HLL,16,31592,dracula,9431.20134607483
REC,16,31592,dracula,27837.932418028387
HLL,2,58201,dracula,4963.824038852793
REC,2,58201,dracula,12324.95164407831
HLL,3,58201,dracula,5846.055916970529
REC,3,58201,dracula,5204.695027013887
HLL,4,58201,dracula,6884.796565853659
REC,4,58201,dracula,7299.335067200983
HLL,5,58201,dracula,8064.6341737931025
REC,5,58201,dracula,5290.363496655065
HLL,6,58201,dracula,9318.48503251077
REC,6,58201,dracula,7019.934471486601
HLL,7,58201,dracula,10878.41138938341
REC,7,58201,dracula,7378.974292816441
HLL,8,58201,dracula,9246.365236841835
REC,8,58201,dracula,10637.956468828921
HLL,9,58201,dracula,9337.173976652552
REC,9,58201,dracula,9726.535002086337
HLL,10,58201,dracula,9229.40811947269
REC,10,58201,dracula,9196.519977196347
HLL,11,58201,dracula,9353.248441430573
REC,11,58201,dracula,9295.871926137454
HLL,12,58201,dracula,9309.228452590927
REC,12,58201,dracula,9493.650908283447
HLL,13,58201,dracula,9338.746884293809
REC,13,58201,dracula,9433.609601163953
HLL,14,58201,dracula,9458.79744084976
REC,14,58201,dracula,10713.903163643017
HLL,15,58201,dracula,9428.09951056076
REC,15,58201,dracula,16071.696938099067
HLL,16,58201,dracula,9431.20134607483
REC,16,58201,dracula,27837.932418028387
HLL,2,27433,dracula,4136.520032377328
REC,2,27433,dracula,5047.709793414476
HLL,3,27433,dracula,8769.083875455794
REC,3,27433,dracula,3248.8897775718456
HLL,4,27433,dracula,12830.757236363637
REC,4,27433,dracula,10502.074014644822
HLL,5,27433,dracula,9777.357484949833
REC,5,27433,dracula,8656.469732327527
HLL,6,27433,dracula,9871.407588381742
REC,6,27433,dracula,8721.927781076707
HLL,7,27433,dracula,9380.689907300037
REC,7,27433,dracula,9689.490760707326
HLL,8,27433,dracula,9228.441636014184
REC,8,27433,dracula,9280.934538915028
HLL,9,27433,dracula,10098.932861823274
REC,9,27433,dracula,10074.255693257315
HLL,10,27433,dracula,9530.801781396061
REC,10,27433,dracula,10319.291696715634
HLL,11,27433,dracula,9516.38210843423
REC,11,27433,dracula,9770.505258759784
HLL,12,27433,dracula,9309.228452590927
REC,12,27433,dracula,9502.926424415531
HLL,13,27433,dracula,9338.746884293809
REC,13,27433,dracula,9419.800331769888
HLL,14,27433,dracula,9458.79744084976
REC,14,27433,dracula,10713.903163643017
HLL,15,27433,dracula,9428.09951056076
REC,15,27433,dracula,16071.696938099067
HLL,16,27433,dracula,9431.20134607483
REC,16,27433,dracula,27837.932418028387
HLL,2,35026,dracula,24819.120194263964
REC,2,35026,dracula,1057.7911840678755
HLL,3,35026,dracula,11295.769059909158
REC,3,35026,dracula,4112.141749739368
HLL,4,35026,dracula,11428.204825910932
REC,4,35026,dracula,6465.732793091528
HLL,5,35026,dracula,9029.899267953668
REC,5,35026,dracula,7421.858368266347
HLL,6,35026,dracula,8596.239309123757
REC,6,35026,dracula,8996.648895275655
HLL,7,35026,dracula,8475.125183077342
REC,7,35026,dracula,11588.90314898268
HLL,8,35026,dracula,8880.437141236627
REC,8,35026,dracula,11322.731423573025
HLL,9,35026,dracula,8951.81003214165
REC,9,35026,dracula,10577.91627570238
HLL,10,35026,dracula,8914.953278157633
REC,10,35026,dracula,9760.783548699717
HLL,11,35026,dracula,9287.325089040185
REC,11,35026,dracula,9553.526946639593
HLL,12,35026,dracula,9309.228452590927
REC,12,35026,dracula,9431.2775139252
HLL,13,35026,dracula,9338.746884293809
REC,13,35026,dracula,9432.458055991103
HLL,14,35026,dracula,9458.79744084976
REC,14,35026,dracula,10713.903163643017
HLL,15,35026,dracula,9428.09951056076
REC,15,35026,dracula,16071.696938099067
HLL,16,35026,dracula,9431.20134607483
REC,16,35026,dracula,27837.932418028387
